iter	Passed	Remaining
0	2	692
1	4	720
2	6	681
3	8	665
4	11	656
5	11	581
6	13	579
7	15	574
8	17	568
9	19	563
10	21	556
11	22	544
12	24	542
13	26	540
14	28	533
15	29	526
16	31	524
17	33	520
18	34	516
19	36	512
20	38	509
21	39	496
22	41	494
23	42	490
24	44	490
25	46	488
26	48	488
27	49	485
28	51	481
29	53	477
30	54	475
31	56	471
32	58	469
33	59	467
34	61	464
35	63	462
36	64	459
37	66	458
38	68	456
39	69	454
40	71	452
41	73	449
42	74	447
43	76	444
44	78	442
45	79	440
46	81	437
47	82	433
48	84	431
49	85	428
50	87	425
51	88	423
52	90	423
53	92	421
54	94	418
55	95	416
56	97	414
57	98	412
58	100	410
59	102	409
60	104	408
61	105	405
62	107	404
63	108	401
64	110	400
65	112	398
66	113	396
67	115	394
68	117	393
69	119	391
70	120	389
71	122	387
72	124	386
73	126	385
74	127	383
75	129	382
76	131	380
77	133	379
78	134	377
79	136	376
80	138	375
81	140	373
82	141	371
83	143	369
84	145	367
85	147	366
86	148	363
87	150	362
88	152	361
89	154	359
90	155	357
91	157	356
92	159	354
93	160	352
94	162	350
95	164	348
96	165	347
97	167	345
98	169	343
99	170	341
100	172	339
101	174	337
102	175	335
103	177	333
104	178	331
105	180	330
106	182	329
107	185	329
108	188	330
109	190	328
110	192	327
111	194	326
112	196	324
113	197	322
114	199	320
115	200	318
116	203	317
117	204	315
118	206	313
119	207	311
120	209	310
121	211	308
122	212	306
123	214	304
124	216	302
125	217	300
126	219	298
127	220	296
128	222	294
129	223	292
130	225	290
131	227	289
132	228	287
133	230	285
134	232	283
135	233	281
136	235	279
137	236	278
138	238	275
139	239	274
140	241	272
141	243	270
142	244	268
143	246	266
144	247	264
145	249	263
146	251	261
147	252	259
148	254	257
149	256	256
150	257	254
151	259	252
152	260	250
153	262	248
154	264	247
155	265	245
156	267	243
157	269	242
158	271	240
159	272	238
160	274	236
161	275	235
162	277	233
163	279	231
164	280	229
165	282	227
166	283	225
167	285	224
168	286	222
169	288	220
170	290	219
171	292	217
172	293	215
173	295	214
174	297	212
175	298	210
176	300	208
177	302	206
178	303	205
179	305	203
180	306	201
181	308	199
182	310	198
183	311	196
184	313	194
185	314	193
186	316	191
187	318	189
188	319	187
189	321	185
190	322	184
191	324	182
192	326	180
193	327	178
194	329	177
195	330	175
196	332	173
197	333	171
198	335	170
199	336	168
200	338	166
201	339	164
202	341	163
203	343	161
204	344	159
205	346	157
206	347	156
207	349	154
208	350	152
209	352	150
210	353	149
211	355	147
212	357	145
213	359	144
214	360	142
215	362	140
216	363	139
217	366	137
218	367	135
219	369	134
220	370	132
221	372	131
222	374	129
223	376	127
224	378	126
225	379	124
226	381	122
227	383	120
228	384	119
229	386	117
230	388	115
231	389	114
232	391	112
233	392	110
234	394	109
235	396	107
236	398	105
237	399	104
238	401	102
239	402	100
240	404	99
241	406	97
242	407	95
243	409	93
244	411	92
245	412	90
246	414	88
247	415	87
248	417	85
249	419	83
250	420	82
251	422	80
252	424	78
253	426	77
254	428	75
255	429	73
256	431	72
257	433	70
258	434	68
259	436	67
260	438	65
261	440	63
262	441	62
263	443	60
264	444	58
265	446	57
266	448	55
267	449	53
268	451	52
269	452	50
270	454	48
271	456	46
272	457	45
273	459	43
274	461	41
275	462	40
276	464	38
277	466	36
278	468	35
279	470	33
280	471	31
281	473	30
282	475	28
283	477	26
284	479	25
285	480	23
286	482	21
287	483	20
288	485	18
289	487	16
290	488	15
291	490	13
292	492	11
293	494	10
294	495	8
295	497	6
296	499	5
297	501	3
298	503	1
299	504	0
